INI1003063	INI1003063_baseline	INI1003063_LUNG
0.745098039215686	-0.0142099	-0.0318738
0.76824034334764	-0.0256831	-0.0379811
0.682539682539683	-0.00491885	-0.0202835
0.828220858895706	0.00500678	-0.0083226
0.772946859903382	-0.0346794	-0.0465534
0.681742897184355	-0.0130613	-0.0276824
0.818532818532819	-0.0189859	-0.0395516
0.865934065934066	-0.02996	-0.0371617
0.81042654028436	-0.00597348	-0.0329916
0.793478260869565	-0.0246257	-0.0437167
0.752152486688569	-0.0182566	-0.0407325
0.640449438202247	-0.027281	-0.0411775
0.824324324324324	-0.0214042	-0.0302409
0.836653386454183	-0.00556859	-0.0115752
0.692607003891051	-0.0146652	-0.0324226
0.792452830188679	-0.000923516	-0.0145338
0.66023166023166	-0.0120736	-0.0282959
0.840579710144928	-0.0241663	-0.0314707
0.808333333333333	-0.0252156	-0.0294185
0.707446808510638	-0.0430991	-0.0498173
0.78	-0.0121228	-0.0247362
0.781637717121588	-0.0447611	-0.0575762
0.748427672955975	-0.0278804	-0.0215628
0.851620885508354	-0.0157514	-0.0293361
0.797101449275362	-0.0131447	-0.0378772
0.829015544041451	-0.0254535	-0.0312684
0.78125	-0.0342432	-0.0420055
0.846153846153846	-7.86759e-05	-0.0148508
0.833333333333333	-0.0199165	-0.0323616
0.616822429906542	-0.0116528	-0.00859584
0.867313915857605	0.0197125	-0.00459634
0.748995919157379	0.0110704	-0.00678841
0.79253112033195	-0.00580431	-0.0157579
0.809885931558936	-0.0350027	-0.0417833
0.772151898734177	-0.0061964	-0.0243075
0.753488372093023	-0.0152945	-0.0377003
0.676690800365712	-0.0240009	-0.0266322
0.849112426035503	-0.00890779	-0.0180293
0.821822944442702	0.00806754	-0.00037807
0.794117647058824	-0.0136302	-0.0401533
0.807692307692308	-0.0369025	-0.0524701
0.781608998515473	-0.0261985	-0.0392804
0.563758389261745	-0.0296152	-0.0308034
0.847616237130304	0.0140796	-0.00488161
0.85036496350365	0.00966931	-0.00630815
0.774373259052925	-0.00177617	-0.0216313
0.809526816536162	-0.029795	-0.0373584
0.495049504950495	0.0174929	-0.00932915
0.789308176100629	-0.0259066	-0.0354953
0.759305210918114	-0.0178753	-0.032736
0.690262582056893	-0.0148848	-0.0114516
0.775119617224881	-0.0105965	-0.0200327
0.79558548619411	-0.0333182	-0.0359634
0.764172335600907	-0.0419291	-0.0362909
0.720670391061453	-0.0332474	-0.0412414
0.993589743589744	-0.00319735	-0.0216458
0.776	0.0037843	-0.00644704
0.774193548387097	-0.00866714	-0.016612
0.803795721187026	-0.00876868	-0.0150164
0.813953488372093	0.00462719	-0.00355702
0.842209072978304	0.00500556	-0.00807794
0.797872340425532	-0.0123172	-0.0220136
0.787804878048781	-0.013316	-0.0249363
0.825783972125436	-0.0111244	-0.0205328
0.785953177257525	-0.0272842	-0.035872
0.793939393939394	-0.0422002	-0.056256
0.78525641025641	-0.000590037	-0.0158208
0.804545454545455	-0.0322534	-0.0341506
0.791304347826087	-0.0115908	-0.0302868
0.781690140845071	-0.00584128	-0.0235431
0.832558139534884	-0.0239114	-0.0427279
0.774193548387097	-0.0302648	-0.04456
0.816135084427767	-0.00431084	-0.0157261
0.799919967987195	-0.0366605	-0.0576442
0.864450127877238	-0.00828073	-0.0264994
0.68421052631579	0.0026511	-0.0163338
0.887640449438202	0.00938022	0.000726363
0.694755180634513	-0.0316101	-0.0530731
0.727777777777778	-0.00569761	-0.0236975
0.65835655374494	-0.0153297	-0.0226941
0.608843537414966	-0.0383944	-0.052879
0.815381764798107	-0.00724851	-0.0176828
0.860097852677358	-0.00290676	-0.0121575
0.665845648604269	-0.0370543	-0.0415767
0.96	0.00607772	-0.00202507
0.725144276426328	0.00698231	-0.0134496
0.790697674418605	-0.01109	-0.0350101
0.816793893129771	0.0096333	-0.0134983
0.814241486068111	-0.00201369	-0.0219984
0.813131313131313	0.00056835	-0.0129297
0.777020793414236	-0.0281062	-0.0361472
0.726577126577127	-0.0296774	-0.0494752
0.930275034512053	-0.011507	-0.0239196
0.875	0.0142281	0.00310071
0.718390804597701	0.0131231	0.000106578
0.772357723577236	-0.0189031	-0.0352075
0.75	-0.0334606	-0.042063
0.806326160228157	-0.0101017	-0.0255326
0.875	-0.00822372	-0.00910207
0.859848484848485	-0.00530789	-0.0190494
0.785714285714286	-0.0189593	-0.0286027
0.763412905797422	-0.00235919	-0.00309696
0.621993127147766	-0.0199832	-0.0235309
