INI50030700	INI50030700_baseline	INI50030700_KIDNEY
4.76915284694964	-0.00442868	-0.0505786
4.39012857466021	0.00782926	-0.0164482
4.62965146936705	-0.00581947	-0.0432158
4.68227406424862	-0.0838841	-0.106963
4.63143613972772	-0.0520054	-0.0895132
4.44895888382101	-0.00132095	-0.0650436
4.52066633912951	-0.0587382	-0.0844226
4.03783460979166	-0.0997489	-0.119696
4.65725574697886	-0.0849755	-0.121434
4.42986549742609	-0.0453894	-0.070007
4.81529900118523	-0.0524408	-0.0722358
4.67750798160857	-0.0695093	-0.0834661
4.63523427710303	-0.073739	-0.0913106
4.6512437713566	-0.0514568	-0.0775125
4.63496813766809	-0.0417449	-0.10313
4.71239760959046	-0.041396	-0.0713177
4.53933161011011	0.00590264	-0.063907
4.68051210089188	-0.0988808	-0.116173
4.4613929248127	-0.0777697	-0.13285
4.54402014196708	-0.0584724	-0.135164
4.75823850601293	-0.0689644	-0.105864
4.50529062459239	-0.0158084	-0.0351571
4.10075113947778	-0.0697758	-0.08295
4.54268377935593	-0.0757758	-0.0847349
4.62680039171697	-0.0598903	-0.0973742
4.40876855036199	-0.0161298	-0.0863427
4.45322055162906	-0.0479282	-0.0813891
4.18225029771897	-0.0466909	-0.0971627
4.54227599751689	-0.0706149	-0.126625
4.5102458411892	-0.0193709	-0.0676286
4.55770424220933	-0.0506043	-0.112482
4.29827691848101	-0.122889	-0.143935
4.59490899130543	-0.105228	-0.143472
4.73809948988111	-0.0244067	-0.0474295
4.740172306634	-0.0461388	-0.0703173
4.58966259516902	-0.065719	-0.11203
4.70565544825157	-0.0116444	-0.0831972
4.65601641282829	0.000278632	-0.0123019
4.34964476369758	0.0013793	-0.00913979
4.46952724051062	-0.0865538	-0.136952
4.3970122758766	-0.0564921	-0.07567
4.32816682063276	-0.118518	-0.168891
4.47727384920275	-0.0807159	-0.124438
4.79760505160507	-0.0294569	-0.0486897
4.25749069998284	0.0443591	0.00635074
4.72106998044759	-0.0610305	-0.0995447
4.39424299011699	0.0423764	0.0109911
4.70365877513776	-0.0677069	-0.092372
4.41727135042012	-0.0397838	-0.0737131
4.63119534373292	-0.133268	-0.161501
4.17836739326037	-0.0257984	-0.0696081
4.69726796692305	-0.0823231	-0.153807
4.51401693520131	-0.0785536	-0.120866
4.66254542046027	0.000209269	-0.0362706
4.3340428963255	0.0655252	0.00601532
4.56116131580507	-0.0421138	-0.0881585
4.73262495479818	-0.0684957	-0.10746
4.52586230533486	-0.0925808	-0.12592
4.40247184364831	-0.104621	-0.149866
4.65813035599109	-0.0429266	-0.0779307
4.47283701830442	-0.0614779	-0.104312
4.37764008889493	-0.115709	-0.149884
4.67515503772737	-0.124992	-0.163001
4.49006441724495	0.0197023	-0.0192206
